segment_id,seq,highway,road_class,road_class_rank,maxspeed_mph,speed_limit_source,speed_limit_conf,lanes,lanes_int,oneway,oneway_bool,surface,bridge,tunnel,name,ref,lit,lit_bool,cycleway,cycleway_type,width,width_m
1757737014_000000,0,residential,residential,1,30.0,nyc_default_30mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000000,1,residential,residential,1,15.0,nyc_default_15mph,medium,1,1,True,1,,,,55th Street,,,,,none,,
1757737014_000000,2,residential,residential,1,40.0,nyc_default_40mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000000,3,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000000,4,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000000,5,residential,residential,1,30.0,tag,high,,,True,1,,,,53rd Street,,,,,none,,
1757737014_000000,6,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000000,7,residential,residential,1,30.0,nyc_default_30mph,medium,2,2,False,0,,,,9th Avenue,,,,,none,,
1757737014_000001,0,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,1,residential,residential,1,20.0,nyc_default_20mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,2,residential,residential,1,30.0,nyc_default_30mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,3,residential,residential,1,30.0,nyc_default_30mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,4,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,5,residential,residential,1,30.0,nyc_default_30mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,6,residential,residential,1,25.0,nyc_default_25mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,7,residential,residential,1,50.0,nyc_default_50mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,8,residential,residential,1,20.0,nyc_default_20mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,9,residential,residential,1,50.0,nyc_default_50mph,medium,2,2,False,0,,,,19th Avenue,,,,,none,,
1757737014_000001,10,residential,residential,1,30.0,nyc_default_30mph,medium,1,1,True,1,,,,55th Street,,,,,none,,
1757737014_000001,11,residential,residential,1,30.0,nyc_default_30mph,medium,1,1,True,1,,,,55th Street,,,,,none,,
1757737014_000002,0,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,1,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,2,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,3,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,4,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,5,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Columbus Avenue,,,,,none,,
1757737014_000002,6,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 97th Street,,,,,none,,
1757737014_000002,7,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 97th Street,,,,,none,,
1757737014_000002,8,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 97th Street,,,,,none,,
1757737014_000002,9,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 97th Street,,,,,none,,
1757737014_000002,10,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 97th Street,,,,,none,,
1757737014_000002,11,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 100th Street,,,,,none,,
1757737014_000002,12,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 100th Street,,,,,none,,
1757737014_000002,13,residential,residential,1,25.0,tag,high,1,1,True,1,,,,West 100th Street,,,,,none,,
1757737014_000003,0,residential,residential,1,20.0,nyc_default_20mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,1,residential,residential,1,35.0,nyc_default_35mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,2,residential,residential,1,25.0,nyc_default_25mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,3,residential,residential,1,25.0,nyc_default_25mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,4,residential,residential,1,15.0,nyc_default_15mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,5,residential,residential,1,25.0,nyc_default_25mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,6,residential,residential,1,50.0,nyc_default_50mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,7,residential,residential,1,50.0,nyc_default_50mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,8,residential,residential,1,35.0,nyc_default_35mph,medium,,,True,1,,,,55th Road,,,,,none,,
1757737014_000003,9,residential,residential,1,15.0,nyc_default_15mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,10,residential,residential,1,45.0,nyc_default_45mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,11,residential,residential,1,45.0,nyc_default_45mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,12,residential,residential,1,40.0,nyc_default_40mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,13,residential,residential,1,25.0,nyc_default_25mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,14,residential,residential,1,20.0,nyc_default_20mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,15,residential,residential,1,30.0,nyc_default_30mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,16,residential,residential,1,45.0,nyc_default_45mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,17,tertiary,tertiary,2,30.0,nyc_default_30mph,medium,,,False,0,,,,55th Drive,,,,,none,,
1757737014_000003,18,residential,residential,1,35.0,nyc_default_35mph,medium,,,True,1,,,,59th Street,,,,,none,,
1757737014_000003,19,residential,residential,1,25.0,nyc_default_25mph,medium,,,True,1,,,,59th Street,,,,,none,,
1757737014_000003,20,residential,residential,1,30.0,nyc_default_30mph,medium,,,True,1,,,,59th Street,,,,,none,,
1757737014_000003,21,tertiary,tertiary,2,35.0,nyc_default_35mph,medium,,,False,0,,,,59th Street,,,,,none,,
1757737014_000003,22,tertiary,tertiary,2,40.0,nyc_default_40mph,medium,,,False,0,,,,59th Street,,,,,none,,
1757737014_000004,0,tertiary,tertiary,2,40.0,nyc_default_40mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,1,motorway,motorway,6,55.0,tag,high,3,3,True,1,,yes,,New Jersey Turnpike Eastern Spur,I 95;NJTP,,,,none,,
1757737014_000004,2,motorway,motorway,6,55.0,tag,high,3,3,True,1,,yes,,New Jersey Turnpike Eastern Spur,I 95;NJTP,,,,none,,
1757737014_000004,3,motorway,motorway,6,55.0,tag,high,3,3,True,1,,yes,,New Jersey Turnpike Eastern Spur,I 95;NJTP,,,,none,,
1757737014_000004,4,motorway,motorway,6,55.0,tag,high,3,3,True,1,,yes,,New Jersey Turnpike Eastern Spur,I 95;NJTP,,,,none,,
1757737014_000004,5,tertiary,tertiary,2,25.0,nyc_default_25mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,6,tertiary,tertiary,2,45.0,nyc_default_45mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,7,tertiary,tertiary,2,25.0,nyc_default_25mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,8,tertiary,tertiary,2,40.0,nyc_default_40mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,9,tertiary,tertiary,2,30.0,nyc_default_30mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,10,tertiary,tertiary,2,25.0,nyc_default_25mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,11,tertiary,tertiary,2,30.0,nyc_default_30mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,12,tertiary,tertiary,2,30.0,nyc_default_30mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000004,13,tertiary,tertiary,2,50.0,nyc_default_50mph,medium,3,3,False,0,,,,West Side Avenue,,,,,none,,
1757737014_000005,0,unclassified,other,-1,15.0,tag,high,3,3,False,0,,,,Bay Plaza,,,,,none,,
1757737014_000005,1,unclassified,other,-1,15.0,tag,high,3,3,False,0,,,,Bay Plaza,,,,,none,,
1757737014_000005,2,unclassified,other,-1,15.0,tag,high,3,3,False,0,,,,Bay Plaza,,,,,none,,
1757737014_000005,3,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,4,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,5,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,6,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,7,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,8,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,9,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,10,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,11,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,12,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,13,tertiary,tertiary,2,15.0,tag,high,4,4,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,14,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,15,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,16,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,17,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,18,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,19,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,20,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,21,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,22,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,23,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,24,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,25,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,26,tertiary,tertiary,2,15.0,tag,high,3,3,False,0,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,30,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,31,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,32,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,33,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,34,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,35,tertiary,tertiary,2,15.0,tag,high,1,1,True,1,,,,Bay Plaza Boulevard,,,,,none,,
1757737014_000005,36,secondary,secondary,3,25.0,tag,high,3,3,True,1,,,,Baychester Avenue,,,,,none,,
1757737014_000005,37,secondary,secondary,3,25.0,tag,high,3,3,True,1,,,,Baychester Avenue,,,,,none,,
1757737014_000006,0,residential,residential,1,25.0,tag,high,2,2,False,0,,yes,,Carlton Avenue,,,,,none,,
1757737014_000006,1,residential,residential,1,25.0,tag,high,2,2,False,0,,yes,,Carlton Avenue,,,,,none,,
1757737014_000006,2,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Atlantic Avenue,,,,,none,,
1757737014_000006,3,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Atlantic Avenue,,,,,none,,
1757737014_000006,4,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Atlantic Avenue,,,,,none,,
1757737014_000006,5,primary,primary,4,25.0,tag,high,3,3,True,1,,,,Atlantic Avenue,,,,,none,,
