trip_id,segment_id,ts,seq,lat,lng,speed_mps,accel_mps2,jerk_mps3,odometer_m
1757737014_000013__1149664691,1757737014_000013,1757747077,0,40.762668,-74.02966,14.727,0.0,0.0,0.0
1757737014_000013__1149664691,1757737014_000013,1757747078,1,40.762611,-74.0295402,10.172,-4.555,-4.555,11.92
1757737014_000013__1149664691,1757737014_000013,1757747079,2,40.7625541,-74.0294203,10.675,0.503,5.059,23.83
1757737014_000013__1149664691,1757737014_000013,1757747080,3,40.7624971,-74.0293005,10.243,-0.432,-0.935,35.75
1757737014_000013__1149664691,1757737014_000013,1757747081,4,40.7624402,-74.0291807,9.817,-0.426,0.005,47.66
1757737014_000013__1149664691,1757737014_000013,1757747082,5,40.7623832,-74.0290608,9.243,-0.574,-0.147,59.58
1757737014_000013__1149664691,1757737014_000013,1757747083,6,40.7623263,-74.028941,13.232,3.99,4.564,71.49
1757737014_000013__1149664691,1757737014_000013,1757747084,7,40.7622693,-74.0288211,12.953,-0.279,-4.269,83.41
1757737014_000013__1149664691,1757737014_000013,1757747085,8,40.7622124,-74.0287013,7.749,-5.204,-4.925,95.32
1757737014_000013__1149664691,1757737014_000013,1757747086,9,40.7621554,-74.0285815,10.727,2.978,8.183,107.24
1757737014_000013__1149664691,1757737014_000013,1757747087,10,40.7620985,-74.0284616,10.032,-0.695,-3.674,119.15
1757737014_000013__1149664691,1757737014_000013,1757747088,11,40.7620415,-74.0283418,9.169,-0.863,-0.168,131.07
1757737014_000013__1149664691,1757737014_000013,1757747089,12,40.7619722,-74.0282915,11.765,2.596,3.459,139.86
1757737014_000013__1149664691,1757737014_000013,1757747090,13,40.7618825,-74.0283689,8.999,-2.766,-5.362,151.77
1757737014_000013__1149664691,1757737014_000013,1757747091,14,40.7617939,-74.0284484,10.516,1.516,4.282,163.69
1757737014_000013__1149664691,1757737014_000013,1757747092,15,40.7617052,-74.0285279,10.972,0.457,-1.06,175.6
1757737014_000013__1149664691,1757737014_000013,1757747093,16,40.7616166,-74.0286073,12.126,1.154,0.697,187.52
1757737014_000013__1149664691,1757737014_000013,1757747094,17,40.7615282,-74.0286874,12.011,-0.115,-1.269,199.43
1757737014_000013__1149664691,1757737014_000013,1757747095,18,40.7614413,-74.0287702,14.387,2.376,2.491,211.35
1757737014_000013__1149664691,1757737014_000013,1757747096,19,40.7613514,-74.028847,10.353,-4.034,-6.409,223.26
1757737014_000013__1149664691,1757737014_000013,1757747097,20,40.7612628,-74.0289238,10.58,0.228,4.261,235.05
1757737014_000013__1149664691,1757737014_000013,1757747098,21,40.7612699,-74.0290626,9.174,-1.406,-1.634,246.76
1757737014_000013__1149664691,1757737014_000013,1757747099,22,40.7612253,-74.0291887,9.318,0.143,1.549,258.49
1757737014_000013__1149664691,1757737014_000013,1757747100,23,40.7611432,-74.0292793,9.875,0.557,0.414,270.38
1757737014_000013__1149664691,1757737014_000013,1757747101,24,40.7610705,-74.0293817,11.387,1.512,0.955,282.2
1757737014_000013__1149664691,1757737014_000013,1757747102,25,40.761048,-74.0295184,12.353,0.966,-0.546,293.98
1757737014_000013__1149664691,1757737014_000013,1757747103,26,40.7610806,-74.0296493,11.608,-0.746,-1.712,305.58
1757737014_000013__1149664691,1757737014_000013,1757747104,27,40.7611336,-74.0297722,12.873,1.266,2.011,317.5
1757737014_000013__1149664691,1757737014_000013,1757747105,28,40.7611866,-74.0298952,12.659,-0.214,-1.48,329.41
1757737014_000013__1149664691,1757737014_000013,1757747106,29,40.7612404,-74.0300176,14.732,2.073,2.288,341.33
1757737014_000013__1149664691,1757737014_000013,1757747107,30,40.7612964,-74.0301381,10.273,-4.459,-6.532,353.24
1757737014_000013__1149664691,1757737014_000013,1757747108,31,40.761353,-74.0302583,13.127,2.854,7.313,365.16
1757737014_000013__1149664691,1757737014_000013,1757747109,32,40.7614096,-74.0303784,11.468,-1.66,-4.514,377.07
1757737014_000013__1149664691,1757737014_000013,1757747110,33,40.7614647,-74.0304997,13.266,1.798,3.458,388.99
1757737014_000013__1149664691,1757737014_000013,1757747111,34,40.7615184,-74.0306222,13.891,0.625,-1.173,400.9
1757737014_000013__1149664691,1757737014_000013,1757747112,35,40.761572,-74.0307446,7.627,-6.264,-6.89,412.82
1757737014_000013__1149664691,1757737014_000013,1757747113,36,40.7616257,-74.0308671,11.404,3.778,10.042,424.73
1757737014_000013__1149664691,1757737014_000013,1757747114,37,40.7616793,-74.0309895,12.367,0.963,-2.814,436.65
1757737014_000013__1149664691,1757737014_000013,1757747115,38,40.761733,-74.031112,11.85,-0.517,-1.48,448.56
1757737581_000135__1749090055,1757737581_000135,1757747126,0,40.87945,-73.898206,8.622,0.0,0.0,0.0
1757737581_000135__1749090055,1757737581_000135,1757747127,1,40.8795443,-73.8981347,8.527,-0.095,-0.095,12.08
1757737581_000135__1749090055,1757737581_000135,1757747128,2,40.8796387,-73.8980633,9.881,1.354,1.449,24.17
1757737581_000135__1749090055,1757737581_000135,1757747129,3,40.8797324,-73.8979907,8.259,-1.621,-2.975,36.25
1757737581_000135__1749090055,1757737581_000135,1757747130,4,40.8798288,-73.8979247,8.197,-0.062,1.559,48.31
1757737581_000135__1749090055,1757737581_000135,1757747131,5,40.8799272,-73.8978638,6.846,-1.351,-1.289,60.4
